,$\rho r_{hs}$,$\delta \rho r_{hs}$,$T_{hs}$,\delta T_{hs}
0,1.63,0.050000000000000044,6.0,1.5
1,1.42,0.050000000000000044,9.0,1.5
2,1.42,0.050000000000000044,11.0,1.5
3,1.31,0.050000000000000044,14.0,1.5
4,1.31,0.050000000000000044,16.0,1.5
5,1.31,0.050000000000000044,19.0,1.5
6,1.31,0.050000000000000044,22.0,1.5
7,1.21,0.050000000000000044,24.0,1.5
8,1.21,0.050000000000000044,27.0,1.5
9,1.21,0.050000000000000044,29.0,1.5
10,1.21,0.050000000000000044,32.0,1.5
11,1.21,0.050000000000000044,35.0,1.5
12,1.21,0.050000000000000044,37.0,1.5
13,1.21,0.050000000000000044,40.0,1.5
14,1.21,0.050000000000000044,42.0,1.5
15,1.21,0.050000000000000044,45.0,1.5
16,1.21,0.050000000000000044,47.0,1.5
