,$\rho r_{hs}$,$\delta \rho r_{hs}$,$T_{hs}$,\delta T_{hs}
0,0.99,0.035,21.0,1.5
1,0.99,0.035,24.0,1.5
2,0.99,0.035,25.0,1.5
3,0.91,0.035,26.0,1.5
4,0.91,0.035,27.0,1.5
5,0.91,0.035,29.0,1.5
6,0.91,0.035,31.0,1.5
7,0.91,0.035,32.0,1.5
8,0.91,0.035,34.0,1.5
9,0.91,0.035,35.0,1.5
10,0.91,0.035,36.0,1.5
11,0.91,0.035,37.0,1.5
12,0.84,0.035,39.0,1.5
13,0.84,0.035,40.0,1.5
14,0.84,0.035,41.0,1.5
15,0.84,0.035,42.0,1.5
16,0.84,0.035,44.0,1.5
17,0.84,0.035,45.0,1.5
18,0.84,0.035,46.0,1.5
19,0.84,0.035,47.0,1.5
20,0.84,0.035,49.0,1.5
21,0.84,0.035,50.0,1.5
